Release Year,Song,Artist,Album,Genre,Duration,Writer,Composer,Producer,Award
1990,Mga Kababayan Ko,Francis Magalona,Yo!,Pinoy Hip Hop,3:39,Francis Magalona,Jimmy Antiporda,Jimmy Antiporda,Awit Award for Best Rap Recording
1990,Cold Summer Nights,Francis Magalona,Yo!,R&B / Rap,4:32,Bob Guzman,Jimmy Antiporda,Jimmy Antiporda,
1990,Gotta Let 'Cha Know,Francis Magalona,Yo!,Hip Hop / Pop,3:55,Francis Magalona,Jimmy Antiporda,Jimmy Antiporda,
1990,Man From Manila,Francis Magalona,Yo!,Hip Hop,3:45,Francis Magalona,Jimmy Antiporda,Jimmy Antiporda,Awit Award for Best Rap Recording
1990,Urong Sulong,Regine Velasquez,Nineteen 90,Pop,3:30,Christine Bendebel,Christine Bendebel,Regine Velasquez,
1990,Narito Ako,Regine Velasquez,Nineteen 90,Ballad,4:43,Nonong Pedero,Nonong Pedero,Regine Velasquez,
1990,I Have To Say Goodbye,Regine Velasquez,Nineteen 90,Ballad,3:56,Martin Nievera,Louie Ocampo,Regine Velasquez,
1990,Will I Survive,Introvoys,Breaking New Grounds,Pop Rock,2:57,Paco Arespacochaga,Paco Arespacochaga,Introvoys,
1990,Calling All Nations,Introvoys,Back to the Roots,Pop Rock,2:56,Paco Arespacochaga,Paco Arespacochaga,Introvoys,
1990,Kaibigan,Introvoys,Back to the Roots,Folk Rock,3:36,Jonathan Buencamino,Paco Arespacochaga,Introvoys,
1990,Nadito Ako,Ogie Alcasid,Ogie Alcasid,Ballad,4:32,Aaron Paul del Rosario,Aaron Paul del Rosario,Ogie Alcasid,
1990,Sa Kanya,Ogie Alcasid,Ogie Alcasid,Ballad,4:18,Ito Rapadas,Ito Rapadas,Ogie Alcasid,
1990,Only You,Lea Salonga,Lea Salonga,Pop,3:55,Vehnee Saturno,Vehnee Saturno,Lea Salonga,
1990,The Journey,Lea Salonga,The Journey So Far,Inspirational,4:26,Julie Gold,Julie Gold,Lea Salonga,
1990,Sana Naman,Roeder,Single,Pop Ballad,4:15,Totel De Jesus,Louie Ocampo,Vehnee Saturno,
1990,Mula Sa Puso,Jude Michael,Single,Pop Ballad,4:35,Vehnee Saturno,Vehnee Saturno,Vehnee Saturno,
1990,Paminsan-minsan,Richard Reynoso,Richard Reynoso,Pop Ballad,4:28,Aaron Paul del Rosario,Aaron Paul del Rosario,Vehnee Saturno,
1990,Kahit Na,Zsa Zsa Padilla,Kahit Na,Ballad,4:05,Willy Cruz,Willy Cruz,Willy Cruz,
1990,Shout For Joy,Gary Valenciano,Shout For Joy,Gospel Pop,4:30,Gary Valenciano,Gary Valenciano,Gary Valenciano,Awit Award for Best Performance by a Male Recording Artist
1990,Natutulog Ba Ang Diyos,Gary Valenciano,Shout For Joy,Gospel,4:22,Nonong Pedero,Nonong Pedero,Gary Valenciano,FAMAS Best Movie Theme Song
1991,Bagong Taon,Gary Valenciano,Limits,Pop,4:15,Gary Valenciano,Gary Valenciano,Gary Valenciano,
1991,Kailan,Smokey Mountain,Smokey Mountain,Pop Rock,4:45,Ryan Cayabyab,Ryan Cayabyab,Ryan Cayabyab,Awit Album of the Year
1991,Sana Mahal Mo Rin,Roselle Neri,Single,Ballad,4:52,Roselle Neri,Roselle Neri,Vehnee Saturno,
1991,Minsan Lang Kita Mamahalin,Dingdong Avanzado,Single,Ballad,4:58,Dingdong Avanzado,Dingdong Avanzado,Dingdong Avanzado,Awit Best Ballad
1991,Basta't Kasama Kita,Ogie Alcasid,Single,Pop,4:30,Ogie Alcasid,Ogie Alcasid,Ogie Alcasid,Star Best Male Performer
1991,Hele ng Hele,Smokey Mountain,Smokey Mountain,Pop,4:20,Ryan Cayabyab,Ryan Cayabyab,Ryan Cayabyab,Awit Best Group Performance
1991,Di Bale,Ariel Rivera,Ariel Rivera,Pop Ballad,4:35,Ariel Rivera,Ariel Rivera,Vehnee Saturno,
1991,Pag-ibig Mo Lang,Martin Nievera,Martin 1-2-3,Ballad,4:40,George Canseco,George Canseco,Martin Nievera,
1991,Di Ko Na Makakalimutan,Joey Albert,Joey Albert,Ballad,4:25,George Canseco,George Canseco,Joey Albert,
1991,Sa Wakas,Sharon Cuneta,Sa Wakas,Ballad,5:05,George Canseco,George Canseco,Sharon Cuneta,Awit Best Female Performer
1991,Di Na Natuto,Basil Valdez,Di Na Natuto,Ballad,4:50,George Canseco,George Canseco,Gary Valenciano,
1991,Pangako ng Panginoon,Gary Valenciano,Limits,Pop Rock,4:42,Gary Valenciano,Gary Valenciano,Gary Valenciano,Awit Best Rock Song
1991,Mahal Ko Siya,Rannie Raymundo,Single,Pop,4:18,Rannie Raymundo,Rannie Raymundo,Rannie Raymundo,
1991,Di Ka Mag-Iisa,Pops Fernandez,Single,Ballad,4:38,Pops Fernandez,Pops Fernandez,Pops Fernandez,
1991,Patawad Pa Rin,Zsa Zsa Padilla,Patawad Pa Rin,Ballad,4:45,Zsa Zsa Padilla,Zsa Zsa Padilla,Willy Cruz,Awit Best Regional Song
1991,Di Ko Na Deserve,Janno Gibbs,Single,Pop,4:22,Janno Gibbs,Janno Gibbs,Janno Gibbs,
1991,Sana,Bituin Escalante,Single,Pop Ballad,4:35,Bituin Escalante,Bituin Escalante,Jonathan Manalo,
1991,Walang Iwanan,Francis Magalona,Single,Rap / Pop,4:12,Francis Magalona,Francis Magalona,Jimmy Antiporda,
1991,Di Na Muli,Rachel Alejandro,Single,Ballad,4:48,Vehnee Saturno,Vehnee Saturno,Rachel Alejandro,
1991,Pag-ibig,Rico J. Puno,Single,Pop,4:05,Rico J. Puno,Rico J. Puno,Rico J. Puno,
1991,Mahal Kita,Hajji Alejandro,Single,Ballad,4:40,Hajji Alejandro,Hajji Alejandro,Hajji Alejandro,
1991,Di Bale Na,Raymond Lauchengco,Single,Pop,4:15,Raymond Lauchengco,Raymond Lauchengco,Raymond Lauchengco,
1991,Pangarap Ko,Rey Valera,Single,Ballad,4:55,Rey Valera,Rey Valera,Rey Valera,
1991,Sa Piling Mo,Lani Misalucha,Single,Pop Ballad,4:42,Lani Misalucha,Lani Misalucha,Lani Misalucha,
1991,Di Ko Kaya,Marion Sambutan,Single,Ballad,4:30,Marion Sambutan,Marion Sambutan,Marion Aunor,
1991,Mahal Pa Rin,Eva Eugenio,Single,Ballad,4:38,Eva Eugenio,Eva Eugenio,Willy Cruz,
1991,Di Na Babalik,Imelda Papin,Single,Ballad,5:02,Imelda Papin,Imelda Papin,Imelda Papin,
1991,Pangako,Noel Cabangon,Single,Folk,4:50,Noel Cabangon,Noel Cabangon,Noel Cabangon,
1991,Walang Kapalit,Vanessa Bell,Single,Pop Ballad,4:28,Vanessa Bell,Vanessa Bell,Vehnee Saturno,
1991,Paraiso,Smokey Mountain,Paraiso,Pop / Environmental,5:10,Ryan Cayabyab,Ryan Cayabyab,Ryan Cayabyab,Awit Award for Best Performance by a Group
1991,Sana Kahit Minsan,Ariel Rivera,Ariel Rivera,Pop Ballad,4:32,Vehnee Saturno,Vehnee Saturno,Vehnee Saturno,Awit Award for Best Performance by a New Male Recording Artist
1991,Kapag Tumibok Ang Puso,Donna Cruz,Donna Cruz,Teen Pop,3:53,Aaron Paul del Rosario,Aaron Paul del Rosario,Vehnee Saturno,1992 Awit Award for Best New Female Recording Artist
1991,Mahal Kita Wala Nang Iba,Ogie Alcasid,Single,Pop Ballad,4:52,Ogie Alcasid,Ogie Alcasid,Ogie Alcasid,
1991,Iisang Bangka Tayo,The Dawn,Iiisang Bangka Tayo,Pinoy Rock,4:15,"Cris Michelena, Erwin Castillo",Gerry Nisperos,The Dawn,Finalis for Best Southeast Asian Music Video at the 1992 MTV VMAs
1991,Da Coconut Nut,Smokey Mountain,Paraiso,Novelty Pop,3:37,Ryan Cayabyab,Ryan Cayabyab,Ryan Cayabyab,
1991,Could You Be My Messiah,Gary Valenciano,Shout For Joy,Gospel Pop,4:52,Freddie Saturno,Vehnee Saturno,Gary Valenciano,
1991,Muli,Rodel Naval,Lumayo Ka Man Sa Akin,Pop Ballad,3:48,Rodel Naval,Vehnee Saturno,Vehnee Saturno,
1991,Bawal Na Gamot,Willy Garte,Nasaan Ang Liwanag,Pop Ballad,3:38,Willy Garte,Willy Garte,Willy Garte,
1991,Kahit Habang Buhay,Smokey Mountain,Paraiso,Pop Ballad,3:51,Ryan Cayabyab,Ryan Cayabyab,Ryan Cayabyab,
1991,Gaya Ng Dati,Gary Valenciano,Shout For Joy,Gospel Pop,4:43,Gary Valenciano,Gary Valenciano,Gary Valenciano,
1991,Lumayo Ka Man Sa Akin,Rodel Naval,Lumayo Ka Man Sa Akin,Pop Ballad,4:09,Rodel Naval,Mariya Takeuchi,Vehnee Saturno,
1991,High Energy,Manilyn Reyes,High Energy,Dance Pop,3:45,,,Manilyn Reyes,
1991,Sa Aking Puso,Ariel Rivera,Ariel Rivera,Pop Ballad,3:52,Vehnee Saturno,Vehnee Saturno,Vehnee Saturno,
1991,Tampuhan,Melissa Gibbs,Melissa Gibbs,Pop Ballad,4:22,Lisa Diy,Lisa Diy,Melissa Gibbs,
1991,My One and Only (Saigo No Iiwake),Keempee De Leon,Keempee De Leon,Pop Ballad,4:46,Keempee de Leon,Kanada,Keempee De Leon,
1991,Pagkakataon,Ogie Alcasid,Ogie Alcasid,Pop Ballad,4:21,Ogie Alcasid,Ogie Alcasid,Ogie Alcasid,
1991,I'm Markie D.!,Denmark,I'm Markie D.!,Rap,3:58,Denmark,Denmark,Denmark,
1991,Nahan Ka?,Smokey Mountain,Paraiso,Pop Ballad,3:53,Ryan Cayabyab,Ryan Cayabyab,Ryan Cayabyab,
1991,Malayo Pa Ang Umaga,Ariel Rivera,Ariel Rivera,Inspirational,4:18,Rey Valera,Rey Valera,Vehnee Saturno,
1991,Kahit Konting Pagtingin,Ric Segreto,Single,Pop Ballad,3:45,Willy Cruz,Wily Cruz,Ric Segreto,
1992,Happy New Year,Gary Valenciano,Single,Pop,4:10,Gary Valenciano,Gary Valenciano,Gary Valenciano,
1992,Doon Kasi,AfterImage,Doon Kasi,Rock,4:35,Wency Cornejo,Wency Cornejo,Wency Cornejo,Awit Best Rock Song
1992,Sana Maulit Muli,Gary Valenciano,Sana Maulit Muli,Ballad,5:12,Gary Valenciano,Gary Valenciano,Gary Valenciano,Awit Best Ballad
1992,Maging Loyal Ka Sana,Janno Gibbs,Maging Loyal Ka Sana,Pop,4:25,Janno Gibbs,Janno Gibbs,Janno Gibbs,
1992,Di Bale Nang Mag-Iisa,Ogie Alcasid,Single,Ballad,4:48,Ogie Alcasid,Ogie Alcasid,Ogie Alcasid,
1992,Kailangan Kita,Ariel Rivera,Ariel Rivera,Pop Ballad,4:35,Ariel Rivera,Ariel Rivera,Vehnee Saturno,Star Best Male
1992,Di Ko Na Deserve,Sharon Cuneta,Single,Ballad,4:42,Sharon Cuneta,Sharon Cuneta,Sharon Cuneta,
1992,Pag-ibig Na Walang Hanggan,Martin Nievera,Single,Ballad,4:38,George Canseco,George Canseco,Martin Nievera,
1992,Hele ng Hele (Remix),Smokey Mountain,Paradise,Pop,4:28,Ryan Cayabyab,Ryan Cayabyab,Ryan Cayabyab,
1992,Di Na Natuto,Joey Albert,Single,Ballad,4:50,George Canseco,George Canseco,Joey Albert,
1992,Pangako,Pops Fernandez,Single,Pop,4:30,Pops Fernandez,Pops Fernandez,Pops Fernandez,
1992,Walang Hanggang Pag-ibig,Dingdong Avanzado,Single,Ballad,4:32,Dingdong Avanzado,Dingdong Avanzado,Dingdong Avanzado,Awit Best Seller
1992,Di Ka Sayang,Zsa Zsa Padilla,Single,Pop Ballad,4:45,Zsa Zsa Padilla,Zsa Zsa Padilla,Willy Cruz,
1992,Mahal Kita,Rico J. Puno,Single,Pop,3:58,Rico J. Puno,Rico J. Puno,Rico J. Puno,
1992,Sa Ilalim ng Bituin,Bituin Escalante,Single,Pop,4:15,Bituin Escalante,Bituin Escalante,Jonathan Manalo,
1992,Di Makalimutan,Rachel Alejandro,Single,Ballad,4:35,Vehnee Saturno,Vehnee Saturno,Rachel Alejandro,
1992,Patawarin Mo,Rey Valera,Single,Ballad,4:55,Rey Valera,Rey Valera,Rey Valera,
1992,Di Bale,Francis Magalona,Single,Rap / Pop,4:12,Francis Magalona,Francis Magalona,Jimmy Antiporda,
1992,Mahal Ko Siya,Rannie Raymundo,Single,Pop,4:18,Rannie Raymundo,Rannie Raymundo,Rannie Raymundo,
1992,Di Na Muli,Hajji Alejandro,Single,Ballad,4:40,Hajji Alejandro,Hajji Alejandro,Hajji Alejandro,
1992,Pangarap,Noel Cabangon,Single,Folk Pop,4:50,Noel Cabangon,Noel Cabangon,Noel Cabangon,
1992,Walang Iwanan,Lani Misalucha,Single,Pop Ballad,4:42,Lani Misalucha,Lani Misalucha,Lani Misalucha,
1992,Di Ko Kaya,Eva Eugenio,Single,Ballad,4:30,Eva Eugenio,Eva Eugenio,Willy Cruz,
1992,Mahal Pa Rin,Imelda Papin,Single,Ballad,4:38,Imelda Papin,Imelda Papin,Imelda Papin,
1992,Di Na Babalik,Vanessa Bell,Single,Pop,4:28,Vanessa Bell,Vanessa Bell,Vehnee Saturno,
1992,Ikaw Pa Rin,Jerome John,Single,Pop,4:18,Jerome John,Jerome John,Vehnee Saturno,
1992,Maging Loyal Ka Sana (Remix),Janno Gibbs,Single,Pop,4:22,Janno Gibbs,Janno Gibbs,Janno Gibbs,
1992,Doon Kasi (Live),AfterImage,Single,Rock,4:40,Wency Cornejo,Wency Cornejo,Wency Cornejo,
1992,Sana Maulit Muli (Duet),Gary V & Regine Velasquez,Single,Ballad,5:05,Gary Valenciano,Gary Valenciano,Gary Valenciano,Star Best Duet
1992,Kailangan Kita (Remix),Ariel Rivera,Single,Pop Ballad,4:35,Ariel Rivera,Ariel Rivera,Vehnee Saturno,
1992,Tell Me,Joey Albert,The Ultimate OPM Collection,Ballad,4:10,Louie Ocampo,Louie Ocampo,Joey Albert,Awit Best Performance
1992,Iisxan Na Kita,Ogie Alcasid,Bawat Sandali,Pop Ballad,4:35,Ogie Alcasid,Ogie Alcasid,Ogie Alcasid,
1992,Better Not Complain,James Ingram,James Ingram,R&B / Soul,4:10,James Ingram,James Ingram,James Ingram,
1992,Panalangin,APO Hiking Society,1 - 2 - 3,Pop,3:50,Jim Paredes,Jim Paredes,APO Hiking Society,
1992,Simple Lang,Ariel Rivera,Simple Lang,Pop Ballad,4:12,Vehnee Saturno,Vehnee Saturno,Vehnee Saturno,
1992,Without Your Love,Ariel Rivera,Simple Lang,Pop Ballad,4:28,Ariel Rivera,Ariel Rivera,Vehnee Saturno,
1992,Everlasting Love,The Company,Yon Na!,Contemporary Pop,4:45,Rina Caniza,Luigi De Dios & Moy Ortiz,The Company,Awit Award for Best Composition
1992,Hindi Mo Na Ba Minamahal,Dingdong Avanzado,Coming Home,Ballad,4:38,Aaron Paul del Rosario,Aaron Paul del Rosario,Dingdong Avanzado,
1992,Shake It Baby,Manilyn Reyes,Manilyn!,Dance Pop,3:58,Norman Caraan,Norman Caraan,Manilyn Reyes,
1992,Paano Na Ang Pag-ibig,Keempee De Leon,Keempee De Leon,Pop Ballad,4:42,Keempee de Leon,Keempee de Leon,Keempee De Leon,
1992,Love Is On The Way,Jamie Rivera,Jamie Rivera,Pop,4:30,Jamie Rivera,Jamie Rivera,Jamie Rivera,
1992,Paan Ba Ang Mag Isa,Ogie Alcasid,Bawat Sandali,Ballad,4:25,Ogie Alcasid,Ogie Alcasid,Ogie Alcasid,
1992,Tell Me,Janet Arnaiz,Janet Arnaiz,Pop Ballad,4:50,Louie Ocampo,Louie Ocampo,Janet Arnaiz,
1992,Radio Rap,Michael V.,Michael V.,Novelty / Rap,3:55,Michael V.,Michael V.,Michael V.,
1992,Whenever You Need Me,Keno,Keno,Teen Pop,4:18,Keno,Keno,Keno,
1992,Panaginip,Lara De Leon,Lara,Pop Ballad,4:20,Lara De Leon,Lara De Leon,Lara De Leon,
1992,Pwede Ba,Dingdong Avanzado,Coming Home,Pop,4:32,Dingdong Avanzado,Dingdong Avanzado,Dingdong Avanzado,
1992,Kahit Minsan Lang,Jennifer Medoza,Jennifer Mendoza,Pop Ballad,4:45,Jennifer Mendoza,Jennifer Mendoza,Jennifer Mendoza,
1992,Sige Na Naman,Archie D.,Archie D.,Dance Pop,4:15,Archie D.,Archie D.,Archie D.,
1992,Shake Yer Head,Easerheads,Ultraelectromagneticpop!,Alt Rock,4:12,Ely Buendia,Ely Buendia,Robin Rivera,
1993,Pare Ko,Eraserheads,Ultraelectromagneticpop!,Rock,3:58,Ely Buendia,Ely Buendia,Robin Rivera,Awit Best Rock Album
1993,Magasin,Eraserheads,Ultraelectromagneticpop!,Rock,4:02,Ely Buendia,Ely Buendia,Robin Rivera,Nu Rock Best Song
1993,Kumusta Ka,True Faith,Kumusta Ka,Pop Rock,4:35,Meding Valbuena,Meding Valbuena,True Faith,Awit Best Pop Rock
1993,Ikaw Pa Rin ang Pipiliin Ko,Ariel Rivera,Ariel Rivera II,Ballad,4:48,Ariel Rivera,Ariel Rivera,Vehnee Saturno,Star Best Ballad
1993,Sana Maulit Muli,Gary Valenciano,Single,Ballad,5:12,Gary Valenciano,Gary Valenciano,Gary Valenciano,
1993,Di Bale Nang Mag-Iisa,Ogie Alcasid,Single,Ballad,4:48,Ogie Alcasid,Ogie Alcasid,Ogie Alcasid,
1993,Minsan,Smokey Mountain,Single,Pop,4:25,Ryan Cayabyab,Ryan Cayabyab,Ryan Cayabyab,
1993,Pangako,Sharon Cuneta,Single,Ballad,4:32,George Canseco,George Canseco,Sharon Cuneta,
1993,Walang Kapalit,Zsa Zsa Padilla,Single,Ballad,4:55,George Canseco,George Canseco,Willy Cruz,
1993,Mahal Kita,Martin Nievera,Single,Pop,4:22,George Canseco,George Canseco,Martin Nievera,
1993,Di Ko Na Deserve,Janno Gibbs,Single,Pop,4:25,Janno Gibbs,Janno Gibbs,Janno Gibbs,
1993,Hele ng Hele,Rivermaya,Single,Pop Rock,4:20,Rico Blanco,Rico Blanco,Rico Blanco,
1993,Di Makalimutan,Joey Albert,Single,Ballad,4:35,George Canseco,George Canseco,Joey Albert,
1993,Pag-ibig,Rico J. Puno,Single,Pop,4:05,Rico J. Puno,Rico J. Puno,Rico J. Puno,
1993,Sa Piling Mo,Pops Fernandez,Single,Pop Ballad,4:42,Pops Fernandez,Pops Fernandez,Pops Fernandez,
1993,Di Na Muli,Rachel Alejandro,Single,Ballad,4:48,Vehnee Saturno,Vehnee Saturno,Rachel Alejandro,
1993,Mahal Ko Siya,Rey Valera,Single,Ballad,4:55,Rey Valera,Rey Valera,Rey Valera,
1993,Pangarap Ko,Bituin Escalante,Single,Pop,4:15,Bituin Escalante,Bituin Escalante,Jonathan Manalo,
1993,Walang Hanggang Pag-ibig,Francis Magalona,Single,Rap / Pop,4:12,Francis Magalona,Francis Magalona,Jimmy Antiporda,
1993,Di Bale,Hajji Alejandro,Single,Ballad,4:40,Hajji Alejandro,Hajji Alejandro,Hajji Alejandro,
1993,Sana,Lani Misalucha,Single,Pop Ballad,4:35,Lani Misalucha,Lani Misalucha,Lani Misalucha,
1993,Di Ko Kaya,Eva Eugenio,Single,Ballad,4:30,Eva Eugenio,Eva Eugenio,Willy Cruz,
1993,Mahal Pa Rin,Imelda Papin,Single,Ballad,4:38,Imelda Papin,Imelda Papin,Imelda Papin,
1993,Di Na Babalik,Noel Cabangon,Single,Folk,4:50,Noel Cabangon,Noel Cabangon,Noel Cabangon,
1993,Toyang,Eraserheads,Ultraelectromagneticpop!,Rock,3:45,Ely Buendia,Ely Buendia,Robin Rivera,
1993,Maling Akala,Eraserheads,Ultraelectromagneticpop!,Rock,3:52,Ely Buendia,Ely Buendia,Robin Rivera,
1993,Tirahan,Eraserheads,Ultraelectromagneticpop!,Rock,3:48,Ely Buendia,Ely Buendia,Robin Rivera,
1993,With a Smile (Demo),Eraserheads,Single,Rock,4:10,Ely Buendia,Ely Buendia,Robin Rivera,
1993,Kailan Pa Ba,South Border,Single,R&B,4:28,Jay Durias,Jay Durias,South Border,Awit Best R&B
1993,Ligaya,Easerheads,Ultraelectromagneticpop!,Pinoy Rock / Alt Rock,4:29,Ely Buendia,Ely Buendia,Robin Rivera,
1993,Perfect,True Faith,Perfect,Pop Rock / Alt Rock,4:23,Medwin Marfil,Ferdie Marquez,True Faith,
1993,Bakit Labis Kitang Mahal,Lea Salonga,Single,Pop Ballad,4:22,Alex Mallillin,Alex Mallillin,Lea Salonga,
1993,Dahil Mahal Kita,Ogie Alcasid,Single,Pop Ballad,3:45,Ogie Alcasid,Ogie Alcasid,Ogie Alcasid,Awit Award for Best Original Pilipino Music; CMMA Best Movie Theme Song
1993,Tindahan Ni Aling Nena,Eraserheads,Ultraelectromagneticpop!,Pinoy Rock,3:05,Ely Buendia,Ely Buendia,Robin Rivera,
1993,Iisang Bangka  ,The Dawn,P Manila,Pinoy Rock / New Wave,4:15,Cris Michelena,Gerry Nisperors,The Dawn,
1993,Bakit Pa,Jessa Zaragoza,Phenomenal,Pop Ballad,4:48,Vehnee Saturno,Vehnee Saturno,Vehnee Saturno,
1993,Hanggang Kailan,Janet Arnaiz,Dito,Pop Ballad,4:13,Janet Arnaiz,Janet Arnaiz,Janet Arnaiz,
1993,Hold On,Side A,By Your Side,Pop Ballad,4:55,Joey Benin,Joey Benin,Side A,
1993,Till My Heartache End,Ella May Saison,Single,Pop Ballad,4:25,Vehnee Saturno,Vehnee Saturno,Ella May Saison,
1993,"Isang Babalikan, Iisang Iiwan",Shirley Fuentes,Single,Pop Ballad,4:38,Vehnee Saturno,Vehnee Saturno,Shirley Fuentes,
1993,Meron Akong Ano!,Francis Magalona,Meron Akong Ano!,Pinoy Hip Hop,3:55,Francis Magalona,Francis Magalona,Jimmy Antiporda,
1993,Kasalanan Ba,Men Oppose,Single,Pop Rock,4:45,Men Oppose,Men Oppose,Men Oppose,
1993,How Did You Know,Chiqui Pineda,Single,Pop Ballad,4:40,Chiqui Pineda,Chiqui Pineda,Chiqui Pineda,
1993,Sama Sama,14-K,Single,Teen Pop,4:10,,,14-K,
1993,Kahit Bata Pa,Lilet,Single,Teen Pop,4:18,,,Lilet,
1993,Kung Alam Ko Lang,Richard Reynoso,Single,Pop Ballad,4:47,Richard Reynoso,Richard Reynoso,Richard Reynoso,
1993,Tuloy Pa Rin,Neocolours,Tuloy Pa Rin,Pop Rock,4:20,Ito Rapadas,Ito Rapadas,Neocolours,
1993,Shirley,Eraserheads,Ultraelectromagneticpop!,Pinoy Rock,4:02,Ely Buendia,Ely Buendia,Robin Rivera,
1993,Easy Ka Lang,Eraserheads,Ultraelectromagneticpop!,Pinoy Rock,3:58,Ely Buendia,Ely Buendia,Robin Rivera,
1993,Parting Time,Rockstar,Rockstar,Rock,4:32,Rockstar,Rockstar,Rockstar,
1994,214,Rivermaya,Rivermaya,Pop Rock,4:52,Rico Blanco,Rico Blanco,Rico Blanco,Awit Best Rock Album
1994,Elesi (The Ballad of Ong-ong),Rivermaya,Rivermaya,Rock,4:15,Rico Blanco,Rico Blanco,Rico Blanco,Nu Rock Song of the Year
1994,Para Sayo,Randy David,Single,Pop,4:30,Randy David,Randy David,Randy David,
1994,Nag-iisang Muli,Joey Albert,Nag-iisang Muli,Ballad,4:42,Joey Albert,Joey Albert,Joey Albert,Awit Best Ballad
